Accession,Symbol,Gene Name,Location,Type,Proteome Profiles,Kinomes,Deep Proteomes,,,,,
IPI00000162,NGDN,"neuroguidin, EIF4E binding protein",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000171,TSC22D4,"TSC22 domain family, member 4",Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00000173,LRCH4,leucine-rich repeats and calponin homology (CH) domain containing 4,Cytoplasm,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00000184,SCOC,short coiled-coil protein,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00000230,TPM1 (includes EG:396366),tropomyosin 1 (alpha),Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00000265,FAM171A1,"family with sequence similarity 171, member A1",unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00000279,ZC3H15,zinc finger CCCH-type containing 15,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000305,MED11 (includes EG:100148504),mediator complex subunit 11,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000330,C9orf80,chromosome 9 open reading frame 80,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000334,TMEM242,transmembrane protein 242,unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00000335,HINT2,histidine triad nucleotide binding protein 2,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00000398,NUSAP1,nucleolar and spindle associated protein 1,Nucleus,other,FALSE,FALSE,TRUE,,,,,
IPI00000425,ATP6V0A2,"ATPase, H+ transporting, lysosomal V0 subunit a2",Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00000494,RPL5,ribosomal protein L5,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00000579,CCDC167,coiled-coil domain containing 167,unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00000581,OTUB1,"OTU domain, ubiquitin aldehyde binding 1",Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00000606,TTC4,tetratricopeptide repeat domain 4,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00000643,BAG2,BCL2-associated athanogene 2,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00000655,SLC16A2,"solute carrier family 16, member 2 (thyroid hormone transporter)",Plasma Membrane,transporter,TRUE,TRUE,FALSE,,,,,
IPI00000656,MAU2,MAU2 chromatid cohesion factor homolog (C. elegans),Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000663,MLYCD,malonyl-CoA decarboxylase,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000684,UAP1,UDP-N-acteylglucosamine pyrophosphorylase 1,Nucleus,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000685,CDK7,cyclin-dependent kinase 7,Nucleus,protein kinase,TRUE,TRUE,TRUE,,,,,
IPI00000686,RBM19,RNA binding motif protein 19,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000690,AIFM1,"apoptosis-inducing factor, mitochondrion-associated, 1",Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00000691,CLDN1,claudin 1,Plasma Membrane,other,TRUE,TRUE,TRUE,,,,,
IPI00000692,CLIC3,chloride intracellular channel 3,Nucleus,ion channel,TRUE,FALSE,TRUE,,,,,
IPI00000695,GNA14,"guanine nucleotide binding protein (G protein), alpha 14",Plasma Membrane,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000728,USP15,ubiquitin specific peptidase 15,Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00000733, , , , ,FALSE,FALSE,TRUE,,,,,
IPI00000735,TSPAN13,tetraspanin 13,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00000736,TSPAN15,tetraspanin 15,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00000760,DDAH2,dimethylarginine dimethylaminohydrolase 2,unknown,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000769,KIF22,kinesin family member 22,Nucleus,other,FALSE,FALSE,TRUE,,,,,
IPI00000781,FOXJ2,forkhead box J2,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00000783,PSMB8,"proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)",Cytoplasm,peptidase,FALSE,FALSE,TRUE,,,,,
IPI00000784,MEF2D,myocyte enhancer factor 2D,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00000787,PSMB9,"proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)",Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00000792,CRYZ,"crystallin, zeta (quinone reductase)",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000811,PSMB6,"proteasome (prosome, macropain) subunit, beta type, 6",Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00000816,YWHAE,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00000821,MRPL16 (includes EG:293754),mitochondrial ribosomal protein L16,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00000858,RDBP,RD RNA binding protein,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000861,LASP1,LIM and SH3 protein 1,Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00000865,STARD3,StAR-related lipid transfer (START) domain containing 3,Cytoplasm,transporter,TRUE,TRUE,TRUE,,,,,
IPI00000873,VARS,valyl-tRNA synthetase,Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00000874,PRDX1,peroxiredoxin 1,Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00000877,HYOU1,hypoxia up-regulated 1,Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00000878,TEC (includes EG:21682),tec protein tyrosine kinase,Cytoplasm,protein kinase,FALSE,TRUE,FALSE,,,,,
IPI00000885,FRK,fyn-related kinase,Nucleus,protein kinase,FALSE,TRUE,FALSE,,,,,
IPI00000897,HELZ,helicase with zinc finger,Nucleus,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000948,TBL2,transducin (beta)-like 2,Plasma Membrane,other,TRUE,TRUE,TRUE,,,,,
IPI00000949,CRYM,"crystallin, mu",Cytoplasm,enzyme,TRUE,FALSE,FALSE,,,,,
IPI00000977,MAP3K11,mitogen-activated protein kinase kinase kinase 11,Cytoplasm,protein kinase,FALSE,TRUE,TRUE,,,,,
IPI00000980,TOMM7,translocase of outer mitochondrial membrane 7 homolog (yeast),Cytoplasm,transporter,TRUE,FALSE,FALSE,,,,,
IPI00001022,PNKD,paroxysmal nonkinesigenic dyskinesia,Nucleus,other,TRUE,TRUE,TRUE,,,,,
IPI00001053,MMACHC,"methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001091,AFG3L2,AFG3 ATPase family gene 3-like 2 (S. cerevisiae),Cytoplasm,peptidase,TRUE,TRUE,TRUE,,,,,
IPI00001102,NDN,necdin homolog (mouse),Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001134,RBM7,RNA binding motif protein 7,unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00001141,TIMM22,translocase of inner mitochondrial membrane 22 homolog (yeast),Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001145,AP4S1,"adaptor-related protein complex 4, sigma 1 subunit",Cytoplasm,transporter,FALSE,FALSE,TRUE,,,,,
IPI00001146,LSM6 (includes EG:100360750),"LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001159,GCN1L1,GCN1 general control of amino-acid synthesis 1-like 1 (yeast),Cytoplasm,translation regulator,TRUE,TRUE,TRUE,,,,,
IPI00001287,C20orf72,chromosome 20 open reading frame 72,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001348,SFI1 (includes EG:305467),"Sfi1 homolog, spindle assembly associated (yeast)",Cytoplasm,other,FALSE,FALSE,TRUE,,,,,
IPI00001364,GCFC1,GC-rich sequence DNA-binding factor 1,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001427,PDCD2,programmed cell death 2,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001431,PCDHB3,protocadherin beta 3,Plasma Membrane,other,FALSE,FALSE,TRUE,,,,,
IPI00001432,PCDHB2,protocadherin beta 2,Plasma Membrane,other,FALSE,FALSE,TRUE,,,,,
IPI00001437,RND3,Rho family GTPase 3,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001453,INA,"internexin neuronal intermediate filament protein, alpha",Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00001458,KNTC1,kinetochore associated 1,Nucleus,other,TRUE,TRUE,TRUE,,,,,
IPI00001466,EML4,echinoderm microtubule associated protein like 4,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001485,BMP15,bone morphogenetic protein 15,Extracellular Space,growth factor,TRUE,FALSE,FALSE,,,,,
IPI00001516,PCDHAC2,"protocadherin alpha subfamily C, 2",Plasma Membrane,other,FALSE,TRUE,FALSE,,,,,
IPI00001538,FXC1,fracture callus 1 homolog (rat),Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001539,ACAA2,acetyl-CoA acyltransferase 2,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001541,TIMM9,translocase of inner mitochondrial membrane 9 homolog (yeast),Cytoplasm,transporter,TRUE,TRUE,TRUE,,,,,
IPI00001543,TIMM10,translocase of inner mitochondrial membrane 10 homolog (yeast),Cytoplasm,transporter,TRUE,TRUE,TRUE,,,,,
IPI00001545,WAS,Wiskott-Aldrich syndrome (eczema-thrombocytopenia),Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001546,TIMM8B,translocase of inner mitochondrial membrane 8 homolog B (yeast),Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001560,CDKN2A,cyclin-dependent kinase inhibitor 2A,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00001563,CDKN2B,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00001564,CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00001568,ATP6V1D (includes EG:299159),"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D",Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001578,C17orf62,chromosome 17 open reading frame 62,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00001580,FYCO1,FYVE and coiled-coil domain containing 1,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001583,HILPDA,hypoxia inducible lipid droplet-associated,Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00001586,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001589,TIMM13,translocase of inner mitochondrial membrane 13 homolog (yeast),Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001592,GPNMB,glycoprotein (transmembrane) nmb,Plasma Membrane,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00001597,LOXL1,lysyl oxidase-like 1,Extracellular Space,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00001600,C16orf53,chromosome 16 open reading frame 53,Nucleus,other,FALSE,FALSE,TRUE,,,,,
IPI00001618,RAB39A,"RAB39A, member RAS oncogene family",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001632,KIAA1522,KIAA1522,unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00001636,ATXN10,ataxin 10,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001638,PRELID1,PRELI domain containing 1,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001639,KPNB1,karyopherin (importin) beta 1,Nucleus,transporter,TRUE,TRUE,TRUE,,,,,
IPI00001640,N6AMT1,N-6 adenine-specific DNA methyltransferase 1 (putative),unknown,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001641,ORC6 (includes EG:23594),"origin recognition complex, subunit 6",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001649,DNAJC15,"DnaJ (Hsp40) homolog, subfamily C, member 15",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001651,POGK,pogo transposable element with KRAB domain,Nucleus,other,FALSE,FALSE,TRUE,,,,,
IPI00001655,C16orf80,chromosome 16 open reading frame 80,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001661,RCC1,regulator of chromosome condensation 1,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001663,HTRA2,HtrA serine peptidase 2,Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00001676,NPLOC4,nuclear protein localization 4 homolog (S. cerevisiae),Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001690,CUL7,cullin 7,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00001699,PYCARD,PYD and CARD domain containing,Cytoplasm,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00001710,C11orf2,chromosome 11 open reading frame 2,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00001712,CTNNA3,"catenin (cadherin-associated protein), alpha 3",Plasma Membrane,other,TRUE,FALSE,FALSE,,,,,
IPI00001722,NTHL1,nth endonuclease III-like 1 (E. coli),Nucleus,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001723,ATP10D,"ATPase, class V, type 10D",Plasma Membrane,transporter,TRUE,FALSE,FALSE,,,,,
IPI00001730,FHOD1,formin homology 2 domain containing 1,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001734,PSAT1,phosphoserine aminotransferase 1,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001735,NCOR2,nuclear receptor corepressor 2,Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00001738,NUP88,nucleoporin 88kDa,Nucleus,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001755,GPC6 (includes EG:10082),glypican 6,Plasma Membrane,transmembrane receptor,TRUE,FALSE,TRUE,,,,,
IPI00001757,RBM8A,RNA binding motif protein 8A,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00001762,OPHN1,oligophrenin 1,Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00001780,USP16,ubiquitin specific peptidase 16,Cytoplasm,peptidase,FALSE,FALSE,TRUE,,,,,
IPI00001813,PHRF1,PHD and ring finger domains 1,Nucleus,other,FALSE,FALSE,TRUE,,,,,
IPI00001867,SNX11,sorting nexin 11,unknown,transporter,FALSE,FALSE,TRUE,,,,,
IPI00001871,PAWR,"PRKC, apoptosis, WT1, regulator",Nucleus,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00001881,SNX10,sorting nexin 10,Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001883,SNX9,sorting nexin 9,Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001885,SNX8,sorting nexin 8,Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001888,NR2E3,"nuclear receptor subfamily 2, group E, member 3",Nucleus,ligand-dependent nuclear receptor,FALSE,FALSE,TRUE,,,,,
IPI00001891,AUP1,ancient ubiquitous protein 1,Cytoplasm,other,FALSE,TRUE,FALSE,,,,,
IPI00001914,FKBP7,FK506 binding protein 7,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00001922,ST14,suppression of tumorigenicity 14 (colon carcinoma),Plasma Membrane,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00001952,ENDOD1,endonuclease domain containing 1,Extracellular Space,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00001954,BACE2,beta-site APP-cleaving enzyme 2,Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00001960,CLIC4,chloride intracellular channel 4,Plasma Membrane,ion channel,TRUE,FALSE,TRUE,,,,,
IPI00001985,VPS18,vacuolar protein sorting 18 homolog (S. cerevisiae),Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00001999,OIP5,Opa interacting protein 5,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00002070,LRRC8A,"leucine rich repeat containing 8 family, member A",Extracellular Space,other,TRUE,FALSE,TRUE,,,,,
IPI00002134,PSMD5,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 5",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00002135,TACC3,"transforming, acidic coiled-coil containing protein 3",Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00002142,PCDH10,protocadherin 10,Plasma Membrane,other,FALSE,FALSE,TRUE,,,,,
IPI00002147,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39),Extracellular Space,enzyme,TRUE,FALSE,FALSE,,,,,
IPI00002149,SAR1B,SAR1 homolog B (S. cerevisiae),Cytoplasm,enzyme,TRUE,TRUE,TRUE,,,,,
IPI00002150,AP4B1,"adaptor-related protein complex 4, beta 1 subunit",Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00002171,SLC52A2,"solute carrier family 52, riboflavin transporter, member 2",Plasma Membrane,other,FALSE,FALSE,TRUE,,,,,
IPI00002186,ARFGEF2,ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited),Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00002188,ARFGEF1,ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited),Cytoplasm,other,TRUE,TRUE,TRUE,,,,,
IPI00002203,BCCIP,BRCA2 and CDKN1A interacting protein,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00002208,STAMBPL1,STAM binding protein-like 1,unknown,other,TRUE,FALSE,FALSE,,,,,
IPI00002214,KPNA2,"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)",Nucleus,transporter,TRUE,TRUE,TRUE,,,,,
IPI00002220,SAP130,"Sin3A-associated protein, 130kDa",Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00002221,SZT2,seizure threshold 2 homolog (mouse),unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00002225,CERS4,ceramide synthase 4,Cytoplasm,transcription regulator,TRUE,TRUE,TRUE,,,,,
IPI00002230,NCEH1,neutral cholesterol ester hydrolase 1,Plasma Membrane,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002232,TAOK1,TAO kinase 1,Cytoplasm,protein kinase,TRUE,TRUE,TRUE,,,,,
IPI00002236,MFGE8,milk fat globule-EGF factor 8 protein,Extracellular Space,other,TRUE,FALSE,TRUE,,,,,
IPI00002240,FAM118B,"family with sequence similarity 118, member B",unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00002245,ACSS3,acyl-CoA synthetase short-chain family member 3,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002251,PDP2,pyruvate dehyrogenase phosphatase catalytic subunit 2,Cytoplasm,phosphatase,FALSE,FALSE,TRUE,,,,,
IPI00002252,CD68,CD68 molecule,Plasma Membrane,other,TRUE,TRUE,TRUE,,,,,
IPI00002253,TMEM14A,transmembrane protein 14A,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00002255,LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00002270,C6orf211,chromosome 6 open reading frame 211,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00002311,SCRN3,secernin 3,unknown,other,TRUE,FALSE,FALSE,,,,,
IPI00002320,FLRT3,fibronectin leucine rich transmembrane protein 3,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00002324,MAT2B,"methionine adenosyltransferase II, beta",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002330,USP3,ubiquitin specific peptidase 3,Cytoplasm,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00002335,HTT,huntingtin,Cytoplasm,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00002336,ARMC7,armadillo repeat containing 7,unknown,other,TRUE,FALSE,TRUE,,,,,
IPI00002344,SRD5A3,steroid 5 alpha-reductase 3,Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00002349,NUFIP2,nuclear fragile X mental retardation protein interacting protein 2,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00002370,CYP4F3,"cytochrome P450, family 4, subfamily F, polypeptide 3",Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00002372,ABCD3,"ATP-binding cassette, sub-family D (ALD), member 3",Cytoplasm,transporter,TRUE,TRUE,FALSE,,,,,
IPI00002375,TMOD1,tropomodulin 1,Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00002398,KLHL13,kelch-like 13 (Drosophila),unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00002405,OAS3,"2'-5'-oligoadenylate synthetase 3, 100kDa",Cytoplasm,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00002406,BCAM,basal cell adhesion molecule (Lutheran blood group),Plasma Membrane,transmembrane receptor,TRUE,TRUE,TRUE,,,,,
IPI00002408,RPAP3,RNA polymerase II associated protein 3,unknown,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002424,PLEKHF2,"pleckstrin homology domain containing, family F (with FYVE domain) member 2",Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00002432,HOOK2,hook homolog 2 (Drosophila),Cytoplasm,other,TRUE,FALSE,FALSE,,,,,
IPI00002441,SDC1 (includes EG:20969),syndecan 1,Plasma Membrane,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002458,OGFOD2,2-oxoglutarate and iron-dependent oxygenase domain containing 2,unknown,other,TRUE,FALSE,FALSE,,,,,
IPI00002459,ANXA6,annexin A6,Plasma Membrane,other,TRUE,FALSE,TRUE,,,,,
IPI00002460,ANXA7,annexin A7,Plasma Membrane,ion channel,TRUE,FALSE,TRUE,,,,,
IPI00002468,UBIAD1,UbiA prenyltransferase domain containing 1,Nucleus,enzyme,TRUE,TRUE,FALSE,,,,,
IPI00002478,ECE1,endothelin converting enzyme 1,Plasma Membrane,peptidase,TRUE,FALSE,TRUE,,,,,
IPI00002483,SLC30A1,"solute carrier family 30 (zinc transporter), member 1",Plasma Membrane,transporter,TRUE,FALSE,TRUE,,,,,
IPI00002496,GMPPB,GDP-mannose pyrophosphorylase B,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002501,ATF1 (includes EG:100040260),activating transcription factor 1,Nucleus,transcription regulator,FALSE,FALSE,TRUE,,,,,
IPI00002506,ALG5,"asparagine-linked glycosylation 5, dolichyl-phosphate beta-glucosyltransferase homolog (S. cerevisiae)",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002515,TBC1D22B,"TBC1 domain family, member 22B",unknown,other,FALSE,FALSE,TRUE,,,,,
IPI00002519,SHMT1,serine hydroxymethyltransferase 1 (soluble),Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002520,SHMT2,serine hydroxymethyltransferase 2 (mitochondrial),Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002523,CCBL1,"cysteine conjugate-beta lyase, cytoplasmic",Cytoplasm,enzyme,TRUE,FALSE,FALSE,,,,,
IPI00002525,NENF,neudesin neurotrophic factor,Extracellular Space,growth factor,TRUE,FALSE,TRUE,,,,,
IPI00002526,DSE,dermatan sulfate epimerase,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002535,FKBP2,"FK506 binding protein 2, 13kDa",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002538,PDPK1,3-phosphoinositide dependent protein kinase-1,Cytoplasm,protein kinase,TRUE,TRUE,TRUE,,,,,
IPI00002549,ANAPC2,anaphase promoting complex subunit 2,Nucleus,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002551,ANAPC4,anaphase promoting complex subunit 4,Nucleus,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00002552,AP1M2,"adaptor-related protein complex 1, mu 2 subunit",Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00002557, , , , ,TRUE,FALSE,TRUE,,,,,
IPI00002560,NUMBL,numb homolog (Drosophila)-like,Cytoplasm,other,TRUE,FALSE,TRUE,,,,,
IPI00002564,XRCC1 (includes EG:22594),X-ray repair complementing defective repair in Chinese hamster cells 1,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00002569,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1,Cytoplasm,translation regulator,TRUE,FALSE,TRUE,,,,,
