Protein IDs (Uniprot),Gene names,Fasta header,Peptides,Unique peptides,Sequence coverage,Q-value,Rep1 tp = 0h,Rep1 tp = 1h,Rep1 tp = 2h,Rep1 tp = 4h,Rep1 tp = 8h,Rep1 tp = 16h,Rep1 tp = 32h,Rep2 tp = 0h,Rep2 tp = 1h,Rep2 tp = 2h,Rep2 tp = 4h,Rep2 tp = 8h,Rep2 tp = 16h,Rep2 tp = 32h,Rep3 tp = 0h,Rep3 tp = 1h,Rep3 tp = 2h,Rep3 tp = 4h,Rep3 tp = 8h,Rep3 tp = 16h,Rep3 tp = 32h,# data points,1-state-model_kA [h-1],2-state-model_kA [h-1],2-state-model_kB [h-1],2-state-model_ktransfer [h-1],1-state-model_AICp,1-state-model_RSS,2-state-model_AICp,2-state-model_RSS,Half-life (exponential) 1-state-model [h],Half-life (steady state) 2-state-model [h],score,Degradation profile,Abundance after pulse,Validation score
A2BE28-2,Las1l,>sp|A2BE28-2|LAS1L_MOUSE Isoform 2 of Ribosomal biogenesis protein LAS1L OS=Mus musculus GN=Las1l;>sp|A2BE28|LAS1L_MOUSE Ribosomal biogenesis protein LAS1L OS=Mus musculus GN=Las1l PE=1 SV=1,15,15,24.1,0,,,,,,,,,,,,,,,100,83.1433619,69.9363975,64.695428,58.0863646,46.0195121,29.8759939,7,0.042538422,0.360219657,0.027108667,0.548357163,0.052814269,0.034083475,0.947185731,0.000266938,16.29461415,24.9,0.163859962,NED,0.016939674,0
A2BH40-3,Arid1a,>sp|A2BH40-3|ARI1A_MOUSE Isoform 3 of AT-rich interactive domain-containing protein 1A OS=Mus musculus GN=Arid1a;>sp|A2BH40|ARI1A_MOUSE AT-rich interactive domain-containing protein 1A OS=Mus musculus GN=Arid1a PE=1 SV=1;>tr|E9QAQ7|E9QAQ7_MOUSE AT-rich int,19,16,12.6,0,,,,,,,,,,,,,,,100,81.3701509,81.2968608,75.6496302,76.8687087,71.0660447,64.1121132,7,0.017238994,0.8229163,0.007043844,1.347939798,0.117262185,0.020154131,0.882737815,0.000259218,40.20809912,98.1,0.147521995,UN,0.013200947,
A2RSJ4,Uhrf1bp1l,>sp|A2RSJ4|UH1BL_MOUSE UHRF1-binding protein 1-like OS=Mus musculus GN=Uhrf1bp1l PE=1 SV=2,13,13,13.4,0,,,,,,,,,,,,,,,100,108.213526,90.9125982,76.0152801,87.344193,68.6148931,53.5675135,7,0.020727396,0.062695509,0.016458294,0.372813233,0.994223285,0.007702463,0.005776715,0.005949616,33.44111265,41.8,0.20657898,UN,0.01118227,
A2RSY1-3,Kansl3,>sp|A2RSY1-3|KANL3_MOUSE Isoform 3 of KAT8 regulatory NSL complex subunit 3 OS=Mus musculus GN=Kansl3;>sp|A2RSY1-2|KANL3_MOUSE Isoform 2 of KAT8 regulatory NSL complex subunit 3 OS=Mus musculus GN=Kansl3;>sp|A2RSY1|KANL3_MOUSE KAT8 regulatory NSL complex s,8,8,18.4,0,,,,,,,,,,,,,,,100,91.2725669,75.626487,60.7002015,46.550001,,,5,0.103106877,0.152541058,4.08E-05,0.077274624,0.999984934,0.003329758,0.000015066,0.000559157,6.722608625,> 300,0.116901602,ED,0.01465811,
A2RSY6,Trmt1l,>sp|A2RSY6|TRM1L_MOUSE TRMT1-like protein OS=Mus musculus GN=Trmt1l PE=2 SV=1;>sp|A2RSY6-2|TRM1L_MOUSE Isoform 2 of TRMT1-like protein OS=Mus musculus GN=Trmt1l,9,9,18.3,0,,,,,,,,,,,,,,,100,103.4254713,86.2283466,117.5002203,79.3619886,,,5,0.017256452,4.04E-06,0.082953761,0.082870009,0.999998137,0.015443289,1.86259E-06,0.013809292,40.16742162,13.8,-0.276845344,UN,0.005198582,
A3KGB4,Tbc1d8b,>sp|A3KGB4|TBC8B_MOUSE TBC1 domain family member 8B OS=Mus musculus GN=Tbc1d8b PE=2 SV=1,15,15,20.5,0,,,,,,,,,,,,,,,100,97.2987417,81.2681185,76.4114728,76.377291,,,5,0.0432264,0.140476909,1.74E-05,0.325609953,0.999991255,0.00599004,8.74479E-06,0.001554364,16.0352742,> 300,0.134294978,ED,0.009593273,
A6H5Y3,Mtr,>sp|A6H5Y3|METH_MOUSE Methionine synthase OS=Mus musculus GN=Mtr PE=2 SV=1,18,18,18.1,0,,,,,,,,,,,,,,,100,75.1531173,49.8182818,31.8929943,12.9380954,,,5,0.266003604,0.383587779,0.201440115,0.262918814,0.999983593,0.008127568,1.64073E-05,0.001274823,2.605781163,2.8,0.12028708,ED,0.014468131,
A6H5Z3,Exoc6b,>sp|A6H5Z3|EXC6B_MOUSE Exocyst complex component 6B OS=Mus musculus GN=Exoc6b PE=2 SV=1;>sp|A6H5Z3-2|EXC6B_MOUSE Isoform 2 of Exocyst complex component 6B OS=Mus musculus GN=Exoc6b,11,10,18.1,0,,,,,,,,,,,,,,,100,75.1355079,54.1704841,50.6205046,38.1799995,,,5,0.140447827,0.545262686,0.053439678,0.460047594,0.999951809,0.034292812,4.81912E-05,0.002271632,4.935264558,11.9,0.19938437,UN,0.011028142,
A6H8H2,Dennd4c,>sp|A6H8H2|DEN4C_MOUSE DENN domain-containing protein 4C OS=Mus musculus GN=Dennd4c PE=1 SV=1;>sp|A6H8H2-2|DEN4C_MOUSE Isoform 2 of DENN domain-containing protein 4C OS=Mus musculus GN=Dennd4c;>tr|E9Q449|E9Q449_MOUSE DENN domain-containing protein 4C OS=Mu,18,17,12.3,0,,,,,,,,,,,,,,,100,81.1044707,71.6535171,63.0507788,44.0582723,30.6144948,20.8444988,7,0.057432946,0.162565354,0.023737423,0.098406897,0.27228608,0.056720149,0.72771392,0.001318354,12.06880766,24.1,0.051401198,UN,0.015091536,
A6X8Z5,Arhgap31,>sp|A6X8Z5|RHG31_MOUSE Rho GTPase-activating protein 31 OS=Mus musculus GN=Arhgap31 PE=1 SV=1,8,8,7.7,0,,,,,,,,,,,,,,,100,78.6653133,63.8721185,58.0278656,41.7540343,,,5,0.121182613,0.505280702,0.071822997,0.755474665,0.999935438,0.013857738,6.45623E-05,0.000726461,5.719856708,9.2,0.107559667,ED,0.002402148,
A8C756,Thada,>sp|A8C756|THADA_MOUSE Thyroid adenoma-associated protein homolog OS=Mus musculus GN=Thada PE=2 SV=1,26,26,17.4,0,,,,,,,,,,,,,,,100,70.1177614,44.9444615,39.5531465,25.9458616,,,5,0.193621683,0.633080148,0.083396039,0.377046574,0.999958817,0.051908717,4.11828E-05,0.003899231,3.579904742,7,0.252945786,UN,0.019433638,
B1AQJ2,Usp36,>sp|B1AQJ2|UBP36_MOUSE Ubiquitin carboxyl-terminal hydrolase 36 OS=Mus musculus GN=Usp36 PE=2 SV=1;>tr|B0QZF8|B0QZF8_MOUSE Ubiquitin carboxyl-terminal hydrolase 36 (Fragment) OS=Mus musculus GN=Usp36 PE=4 SV=1,13,13,13.6,0,,,,,,,,,,,,,,,100,81.9886332,74.3600732,65.2259683,62.3245035,69.5704731,57.4465526,7,0.021850712,0.328847897,0.003707197,0.457352471,0.525290841,0.045791329,0.474709159,0.001977734,31.72194993,186.1,0.190904694,UN,0.019332053,
B1AUR6-2,Mms22l,>sp|B1AUR6-2|MMS22_MOUSE Isoform 2 of Protein MMS22-like OS=Mus musculus GN=Mms22l;>sp|B1AUR6|MMS22_MOUSE Protein MMS22-like OS=Mus musculus GN=Mms22l PE=2 SV=1;>tr|G8JL47|G8JL47_MOUSE Protein MMS22-like OS=Mus musculus GN=Mms22l PE=4 SV=1;>tr|G3UXR9|G3UXR,7,7,9.9,0,,,,,,,,,,,,,,,100,79.3180568,62.1107241,71.259775,58.863844,,,5,0.079754174,0.675749136,0.01899121,0.812529751,0.999984565,0.027098299,1.54346E-05,0.004463402,8.691045871,36,0.07386651,ED,0.009602397,
B1AVZ0,Uprt,>sp|B1AVZ0|UPP_MOUSE Uracil phosphoribosyltransferase homolog OS=Mus musculus GN=Uprt PE=2 SV=1,9,9,41,0,,,,,,,,,,,,,,,100,102.0328026,82.8042085,95.0747149,62.5111012,,,5,0.050798761,0.000144459,0.149411269,0.14922205,0.999997806,0.007990621,2.19397E-06,0.00626787,13.64496221,7.7,-0.18440584,UN,0.082814479,
B1AY10,Nfx1,>sp|B1AY10|NFX1_MOUSE Transcriptional repressor NF-X1 OS=Mus musculus GN=Nfx1 PE=2 SV=1;>sp|B1AY10-2|NFX1_MOUSE Isoform 2 of Transcriptional repressor NF-X1 OS=Mus musculus GN=Nfx1,23,2,28.5,0,,,,,,,,100,,,76.1518368,62.6730349,,,100,100.5910078,87.2779624,85.5418569,54.3569065,45.4335488,23.0880488,10,0.048529719,0.07185921,0.036028942,0.092280506,0.87717698,0.007504101,0.12282302,0.003676037,14.28294229,17.2,-0.054906711,ED,0.012194819,
B1AY13,Usp24,>sp|B1AY13|UBP24_MOUSE Ubiquitin carboxyl-terminal hydrolase 24 OS=Mus musculus GN=Usp24 PE=1 SV=1;>tr|E9PV45|E9PV45_MOUSE Ubiquitin carboxyl-terminal hydrolase OS=Mus musculus GN=Usp24 PE=1 SV=1,21,21,11.9,0,,,,,,,,,,,,,,,100,92.7010246,67.9788499,62.0055822,40.107859,,,5,0.118450628,0.193994206,0.093250642,0.438930875,0.999997396,0.005043215,2.60414E-06,0.003449057,5.851781382,7.1,0.021146875,ED,0.004620266,
B1AZI6,Thoc2,>sp|B1AZI6|THOC2_MOUSE THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1,35,35,25.5,0,,,,,,,,,,,,,,,100,65.8012123,42.162862,35.7798499,30.8556731,28.1325699,29.0744964,7,0.055300723,0.595344307,0.002744886,0.185736485,0.037932527,0.331430761,0.962067473,0.002129384,12.53414325,248.5,0.43986047,NED,0.043668363,0
B2RQC6,Cad,>sp|B2RQC6|PYR1_MOUSE CAD protein OS=Mus musculus GN=Cad PE=2 SV=1;>tr|E9QAI5|E9QAI5_MOUSE CAD protein OS=Mus musculus GN=Cad PE=3 SV=1;>sp|B2RQC6-2|PYR1_MOUSE Isoform 2 of CAD protein OS=Mus musculus GN=Cad;>tr|G3UWN2|G3UWN2_MOUSE CAD protein OS=Mus muscu,85,83,51.1,0,100,96.5962129,91.1522535,66.0032113,63.6359839,40.0215164,41.1633229,100,96.5166596,91.1762515,61.4250913,60.7434857,48.9770021,52.7856289,100,100.9017803,70.2090662,76.742816,47.5608928,34.4800467,20.6017193,21,0.03952891,0.102447596,0.005177347,0.06223191,0.240412214,0.066916189,0.759587786,0.032751773,17.53519576,124.6,0.166211674,UN,0.286049311,
B2RRE7,Otud4,>sp|B2RRE7|OTUD4_MOUSE OTU domain-containing protein 4 OS=Mus musculus GN=Otud4 PE=1 SV=1,20,20,24.6,0,100,,111.0503674,95.4244605,85.3404762,76.2421405,70.5069627,100,,,103.3627299,81.295533,118.5262442,93.0582308,100,114.4327143,102.8314047,112.2746414,93.8824304,95.2929685,72.1008968,18,0.007083825,7.22E-07,0.008264787,0.275510148,0.93427741,0.014029248,0.06572259,0.013788745,97.8492845,84,-0.112334908,ED,0.027273494,
B2RUR8,Otud7b,>sp|B2RUR8|OTU7B_MOUSE OTU domain-containing protein 7B OS=Mus musculus GN=Otud7b PE=1 SV=1,11,9,21.1,0,,,,,,,,,,,,,,,100,111.8970255,120.2960291,123.24036,101.1113169,82.6334777,63.4344941,7,0.011876199,1.48E-05,0.039232679,0.039217335,0.993629735,0.020229353,0.006370265,0.014771372,58.36439528,29.2,-0.203440458,UN,0.010709985,
B2RWS6,Ep300,>sp|B2RWS6|EP300_MOUSE Histone acetyltransferase p300 OS=Mus musculus GN=Ep300 PE=1 SV=2,28,17,15.5,0,,,,,,,,,,,,,,,100,80.2884877,72.41302,63.3451389,54.4859224,28.9767863,20.0825639,7,0.057683668,0.116193182,0.017437085,0.047716985,0.912898487,0.042718102,0.087101513,0.006667354,12.01635069,28.5,0.152958066,UN,0.004689628,
B2RX14,Zcchc11,>sp|B2RX14|TUT4_MOUSE Terminal uridylyltransferase 4 OS=Mus musculus GN=Zcchc11 PE=1 SV=2;>tr|A2A8R7|A2A8R7_MOUSE Terminal uridylyltransferase 4 OS=Mus musculus GN=Zcchc11 PE=1 SV=1,13,12,10.6,0,,,,,,,,,,,,,,,100,95.3368827,85.9325375,69.4803198,46.8119144,,,5,0.092702756,5.71E-05,0.102902861,1.113479058,0.99997728,0.000702108,2.27203E-05,8.49E-05,7.477093582,6.8,-0.015389625,ED,0.005686679,
B2RXC1,Trappc11,>sp|B2RXC1|TPC11_MOUSE Trafficking protein particle complex subunit 11 OS=Mus musculus GN=Trappc11 PE=2 SV=1,9,9,9.8,0,,,,,,,,,,,,,,,100,76.1468414,61.9826506,62.1615431,40.0675422,40.6473515,35.5047866,7,0.042481729,0.255716301,0.006501582,0.159832742,0.620762675,0.112123064,0.379237325,0.006056847,16.31635973,102.9,0.018131878,UN,0.013343791,
B2RXS4,Plxnb2,>sp|B2RXS4|PLXB2_MOUSE Plexin-B2 OS=Mus musculus GN=Plxnb2 PE=1 SV=1,50,49,38.1,0,100,74.3940245,92.6404887,,,,,100,,,116.1714827,58.8854733,,,100,82.2467206,71.2901122,49.9662284,36.3564772,14.0513378,,12,0.110861228,0.052781186,0.189770679,0.137283233,0.950285071,0.055807856,0.049714929,0.049669955,6.252385892,5.6,-0.113380575,ED,0.013612997,
B2RY56,Rbm25,>sp|B2RY56|RBM25_MOUSE RNA-binding protein 25 OS=Mus musculus GN=Rbm25 PE=1 SV=2;>tr|S4R2B0|S4R2B0_MOUSE RNA-binding protein 25 (Fragment) OS=Mus musculus GN=Rbm25 PE=1 SV=1,21,21,27,0,100,,,84.2884484,80.3236214,77.6116893,56.056616,,,,,,,,100,83.6768948,81.7372868,74.0349318,72.6057916,63.8009061,64.2161913,12,0.018613727,0.724622319,0.009975917,1.406302476,0.211662889,0.01631397,0.788337111,0.003503321,37.23849534,69.2,0.100971305,UN,0.049557688,
D3YXK2,Safb,>sp|D3YXK2|SAFB1_MOUSE Scaffold attachment factor B1 OS=Mus musculus GN=Safb PE=1 SV=2;>tr|S4R1M2|S4R1M2_MOUSE Scaffold attachment factor B1 OS=Mus musculus GN=Safb PE=1 SV=1,26,15,28.4,0,100,83.2571362,100.4182601,103.9530004,103.042466,105.5397252,90.6650465,100,,,88.827346,71.1270134,69.4690659,54.952953,100,81.9600568,84.9203801,71.7816514,73.6596581,79.5963858,83.2065996,19,0.01077544,4.950395707,0.00484157,3.981673163,0.80544098,0.028969375,0.19455902,0.022211685,64.32657771,143,-0.034381857,ED,0.206540767,
D3YYU8,Obsl1,>sp|D3YYU8|OBSL1_MOUSE Obscurin-like protein 1 OS=Mus musculus GN=Obsl1 PE=2 SV=1,24,24,18.6,0,,,,,,,,,,,,,,,100,107.791889,99.526175,111.4392942,88.061682,55.2080438,41.2092918,7,0.028125618,5.75E-07,0.03226551,0.319300539,0.994183462,0.013223499,0.005816538,0.01017398,24.64469117,21.8,-0.171876126,UN,0.016825159,
D3Z7P3,Gls,">sp|D3Z7P3|GLSK_MOUSE Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls PE=1 SV=1;>tr|D3Z7P4|D3Z7P4_MOUSE Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls PE=3 SV=1",24,6,52.8,0,100,101.6712185,91.9462924,87.7747162,81.5161092,94.6503594,71.2918822,100,84.2943453,81.1918549,96.0173224,80.2136012,68.4206845,44.3895316,100,82.5353968,73.03286,71.5767243,56.8947142,73.5348749,53.3246216,21,0.019609345,0.395019241,0.012786318,1.200088014,0.681118069,0.028134531,0.318881931,0.019810197,35.34779933,54,0.020158099,UN,0.126155268,
D3Z7P3-2,Gls,">sp|D3Z7P3-2|GLSK_MOUSE Isoform 2 of Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls",20,2,51.2,0,100,100.8872902,110.5202344,95.0756464,79.9553963,91.1206755,67.8225435,100,,,93.6535987,63.4976801,,,100,,,,,80.358945,53.3736783,13,0.015846174,0.032075957,0.012580889,0.214859141,0.952784923,0.014646854,0.047215077,0.013999817,43.74224102,54.7,-0.11143461,ED,0.041292475,
E1U8D0,Soga1,>sp|E1U8D0|SOGA1_MOUSE Protein SOGA1 OS=Mus musculus GN=Soga1 PE=1 SV=3;>tr|A2ACV6|A2ACV6_MOUSE Protein SOGA1 OS=Mus musculus GN=Soga1 PE=4 SV=1,13,11,12.1,0,,,,,,,,,,,,,,,100,99.1782366,100.1280193,86.7950603,67.6738871,,,5,0.043481561,0.000101399,0.136445244,0.136357461,0.999987477,0.002377557,1.25233E-05,0.000462888,15.94117513,8.4,-0.053614398,ED,0.006883504,
