acc	id	pI	weight
THIK_HUMAN_1	P09110	8.68	41490.68
THIM_HUMAN_1	P42765	8.32	41924.15
ACACA_HUMAN_1	Q13085	5.95	265553.81
ACD10_HUMAN_1	Q6JQN1	8.33	118834.15
ACAD8_HUMAN_1	Q9UKU7	6.77	42681.86
ACAD9_HUMAN_1	Q9H845	UNDEFINED	0.00
ACADM_HUMAN_1	P11310	7.02	43642.89
ACADS_HUMAN_1	P16219	6.15	41721.12
ACDSB_HUMAN_1	P45954	5.72	43695.86
ACADV_HUMAN_1	P49748	7.74	66175.14
ACAP2_HUMAN_1	Q15057	6.38	88028.62
THIL_HUMAN_1	P24752	8.16	41386.02
THIC_HUMAN_1	Q9BWD1	6.46	41350.83
GCP60_HUMAN_1	Q9H3P7	5.02	60593.40
GCP60_HUMAN_2	Q9H3P7	5.02	60462.20
ACBD5_HUMAN_1	Q5T8D3	5.19	60091.84
ACBD6_HUMAN_1	Q9BR61	5.00	31150.85
ACBD7_HUMAN_1	Q8N6N7	6.26	9790.29
ACE_HUMAN_1	P12821	5.89	146829.26
ACE_HUMAN_2	P12821	5.76	138664.93
ACINU_HUMAN_1	Q9UKV3	6.08	151861.52
ACLY_HUMAN_1	P53396	6.95	120839.23
ACOC_HUMAN_1	P21399	6.23	98398.88
ACON_HUMAN_1	Q99798	6.85	82425.78
ACOT1_HUMAN_1	Q86TX2	6.98	46146.17
ACO11_HUMAN_1	Q8WXI4	8.66	68492.13
ACO13_HUMAN_1	Q9NPJ3	9.23	14960.48
ACO13_HUMAN_2	Q9NPJ3	9.23	14829.29
BACH_HUMAN_1	O00154	8.85	41796.03
ACOT8_HUMAN_1	O14734	7.22	35914.23
ACOT9_HUMAN_1	Q9Y305	7.79	47694.00
ACOX1_HUMAN_1	Q15067	8.35	74423.58
ACOX3_HUMAN_1	O15254	6.88	77497.89
PPAC_HUMAN_1	P24666	6.35	17911.29
PPAL_HUMAN_1	P11117	5.80	45155.39
PPA5_HUMAN_1	P13686	9.11	34331.00
PPA6_HUMAN_1	Q9NPH0	5.65	45281.00
PPAP_HUMAN_1	P15309	5.65	41003.75
PPAP_HUMAN_2	P15309	10.21	4551.44
ACSF2_HUMAN_1	Q96CM8	6.40	63747.65
ACSF3_HUMAN_1	Q4G176	6.84	54867.32
ACSL1_HUMAN_1	P33121	6.81	77943.33
ACSL3_HUMAN_1	O95573	8.65	80420.09
ACSL4_HUMAN_1	O60488	8.66	79188.05
ACSL5_HUMAN_1	Q9ULC5	6.49	75990.79
ACSM3_HUMAN_1	Q53FZ2	8.79	63009.83
ACS2L_HUMAN_1	Q9NUB1	6.01	71131.33
ACSA_HUMAN_1	Q9NR19	6.02	78579.63
ACSS3_HUMAN_1	Q9H6R3	8.57	71899.80
ACTS_HUMAN_1	P68133	5.23	41816.70
ACTA_HUMAN_1	P62736	5.24	41774.62
ACTB_HUMAN_1	P60709	5.29	41736.73
ACTB_HUMAN_2	P60709	5.29	41605.54
ACTG_HUMAN_1	P63261	5.31	41792.84
ACTG_HUMAN_2	P63261	5.31	41661.65
ACTH_HUMAN_1	P63267	5.31	41642.54
ACL6A_HUMAN_1	O96019	5.39	47329.77
ACTN1_HUMAN_1	P12814	5.25	103057.55
ACTN4_HUMAN_1	O43707	5.27	104854.04
ARP10_HUMAN_1	Q9NZ32	7.06	46307.00
ACTZ_HUMAN_1	P61163	6.19	42613.74
ACTY_HUMAN_1	P42025	5.98	42293.41
ARP2_HUMAN_1	P61160	6.29	44760.79
ARP3_HUMAN_1	P61158	5.61	47239.99
ARP3B_HUMAN_1	Q9P1U1	5.61	47476.51
ARP5_HUMAN_1	Q9H9F9	5.17	68297.50
ARP8_HUMAN_1	Q9H981	7.86	70483.61
ACY1_HUMAN_1	Q03154	5.77	45753.83
ACYP1_HUMAN_1	P07311	9.30	11129.66
ACYP2_HUMAN_1	P14621	9.52	11008.37
ADA_HUMAN_1	P00813	5.63	40633.26
ADA10_HUMAN_1	O14672	8.16	59401.36
ADA15_HUMAN_1	Q13444	6.16	70011.92
ADA17_HUMAN_1	P78536	5.20	68219.71
ADAM9_HUMAN_1	Q13443	7.22	87650.44
ADAP1_HUMAN_1	O75689	9.10	43395.28
ADAP2_HUMAN_1	Q9NPF8	9.44	44348.85
DSRAD_HUMAN_1	P55265	8.86	136066.37
RED1_HUMAN_1	P78563	9.11	80763.44
ADCK1_HUMAN_1	Q86TW2	8.56	58745.94
ADCK3_HUMAN_1	Q8NI60	7.00	55058.26
ADCK4_HUMAN_1	Q96D53	6.84	60069.47
ADCK5_HUMAN_1	Q3MIX3	9.13	65896.70
ADDA_HUMAN_1	P35611	5.60	80955.14
ADDB_HUMAN_1	P35612	5.67	80723.00
ADDG_HUMAN_1	Q9UEY8	5.92	79023.45
ADH1B_HUMAN_1	P00325	8.63	39723.32
ADH1G_HUMAN_1	P00326	8.63	39736.40
ADHX_HUMAN_1	P11766	7.58	39593.03
MTND_HUMAN_1	Q9BV57	5.43	21498.39
ADK_HUMAN_1	P55263	6.25	40414.24
ADNP_HUMAN_1	Q9H2P0	6.97	123562.87
AEDO_HUMAN_1	Q96SZ5	5.68	29750.86
ADPGK_HUMAN_1	Q9BRR6	5.72	51790.00
ADPRH_HUMAN_1	P54922	6.05	39506.62
ARHL2_HUMAN_1	Q9NX46	4.79	36497.89
ARBK1_HUMAN_1	P25098	6.89	79573.61
ADRM1_HUMAN_1	Q16186	4.95	42022.07
PUR8_HUMAN_1	P30566	6.73	54758.08
PURA2_HUMAN_1	P30520	6.13	50097.36
PURA1_HUMAN_1	Q8N142	8.76	50208.42
AEBP1_HUMAN_1	Q8IUX7	5.02	128482.68
AES_HUMAN_1	Q08117	5.90	21969.82
AFAP1_HUMAN_1	Q8N556	8.87	80724.93
AF1L2_HUMAN_1	Q8N4X5	5.22	91299.67
AFF4_HUMAN_1	Q9UHB7	9.33	127459.18
AFG32_HUMAN_1	Q9Y4W6	8.81	88583.69
AFAM_HUMAN_1	P43652	5.58	66577.02
AFTIN_HUMAN_1	Q6ULP2	4.40	102199.94
ASPG_HUMAN_1	P20933	4.82	19590.90
ASPG_HUMAN_2	P20933	7.64	15068.13
AGAP1_HUMAN_1	Q9UPQ3	8.18	94470.08
AGAP3_HUMAN_1	Q96P47	8.22	95044.11
AGFG1_HUMAN_1	P52594	8.82	58260.16
AGFG2_HUMAN_1	O95081	9.28	48963.06
AGK_HUMAN_1	Q53H12	6.75	43487.79
GDE_HUMAN_1	P35573	6.31	174763.74
PLCA_HUMAN_1	Q99943	9.58	28591.52
PLCB_HUMAN_1	O15120	9.28	28381.14
PLCC_HUMAN_1	Q9NRZ7	8.96	43380.97
PLCE_HUMAN_1	Q9NUQ2	9.18	42072.19
ADAS_HUMAN_1	O00116	7.03	67064.40
AGR2_HUMAN_1	O95994	9.06	17817.53
AGR3_HUMAN_1	Q8TD06	7.99	17002.64
AGRIN_HUMAN_1	O00468	5.93	214430.02
AGRIN_HUMAN_2	O00468	5.21	111894.83
AGRIN_HUMAN_3	O00468	7.34	102553.20
AGRIN_HUMAN_4	O00468	8.57	80738.61
AGRIN_HUMAN_5	O00468	4.97	21832.60
ANGT_HUMAN_1	P01019	5.60	49761.11
ANGT_HUMAN_2	P01019	6.92	1296.49
ANGT_HUMAN_3	P01019	6.92	1183.33
ANGT_HUMAN_4	P01019	6.74	1046.19
ANGT_HUMAN_5	P01019	6.74	899.02
ANGT_HUMAN_6	P01019	5.84	664.76
ANGT_HUMAN_7	P01019	5.84	551.60
ANGT_HUMAN_8	P01019	8.75	931.11
ANGT_HUMAN_9	P01019	6.71	774.92
ATRAP_HUMAN_1	Q6RW13	5.71	17419.21
ELYS_HUMAN_1	Q8WYP5	6.19	252498.34
SAHH_HUMAN_1	P23526	5.92	47584.89
SAHH2_HUMAN_1	O43865	6.48	58820.23
SAHH3_HUMAN_1	Q96HN2	7.12	66589.94
AHDC1_HUMAN_1	Q5TGY3	9.21	168349.36
AHNK_HUMAN_1	Q09666	5.80	629101.22
AHNK2_HUMAN_1	Q8IVF2	5.20	616629.35
AHR_HUMAN_1	P35869	5.94	95078.20
AHSA1_HUMAN_1	O95433	5.41	38274.32
FETUA_HUMAN_1	P02765	4.53	30221.94
FETUA_HUMAN_2	P02765	10.86	2740.27
AIDA_HUMAN_1	Q96BJ3	6.13	35023.16
AIF1_HUMAN_1	P55008	5.97	16572.12
AIF1L_HUMAN_1	Q9BQI0	6.60	16936.60
AIFM1_HUMAN_1	O95831	6.86	55812.64
AIFM2_HUMAN_1	Q9BRQ8	9.16	40395.51
AIM1_HUMAN_1	Q9Y4K1	5.61	188675.76
AIMP1_HUMAN_1	Q12904	8.62	34221.47
AIMP1_HUMAN_2	Q12904	6.80	18218.17
AIMP2_HUMAN_1	Q13155	8.45	35348.79
AIP_HUMAN_1	O00170	5.88	37636.01
KAD1_HUMAN_1	P00568	8.73	21634.84
KAD2_HUMAN_1	P54819	7.67	26477.74
KAD2_HUMAN_2	P54819	7.85	26346.55
KAD3_HUMAN_1	Q9UIJ7	9.16	25434.22
KAD4_HUMAN_1	P27144	8.47	25268.02
AKAP1_HUMAN_1	Q92667	4.79	93875.33
AKA10_HUMAN_1	O43572	5.66	70709.59
AKA11_HUMAN_1	Q9UKA4	5.23	210512.23
AKA12_HUMAN_1	Q02952	4.37	191350.59
AKP13_HUMAN_1	Q12802	5.12	307550.34
AK17A_HUMAN_1	Q02040	9.76	80735.44
AKAP8_HUMAN_1	O43823	5.02	76108.30
AKP8L_HUMAN_1	Q9ULX6	4.97	71648.72
AKAP9_HUMAN_1	Q99996	4.95	453667.25
AK1A1_HUMAN_1	P14550	6.35	36441.85
ALDR_HUMAN_1	P15121	6.55	35722.21
AK1C2_HUMAN_1	P52895	7.13	36735.29
AK1C3_HUMAN_1	P42330	8.06	36853.23
ARK72_HUMAN_1	O43488	6.70	39588.98
ARK73_HUMAN_1	O95154	6.67	37206.40
AKT1_HUMAN_1	P31749	5.75	55686.42
AKTS1_HUMAN_1	Q96B36	4.65	27383.34
AKT2_HUMAN_1	P31751	5.98	55768.79
AKTIP_HUMAN_1	Q9H8T0	9.34	33128.00
HEM2_HUMAN_1	P13716	6.32	36294.88
ALBU_HUMAN_1	P02768	5.67	66472.21
CD166_HUMAN_1	Q13740	5.71	62262.86
A16A1_HUMAN_1	Q8IZ83	6.35	85127.45
P5CS_HUMAN_1	P54886	6.66	87302.29
AL1A1_HUMAN_1	P00352	6.29	54730.65
AL1A2_HUMAN_1	O94788	5.79	56723.94
AL1A3_HUMAN_1	P47895	7.12	55977.28
AL1B1_HUMAN_1	P30837	5.96	55280.94
AL1L1_HUMAN_1	O75891	5.63	98829.24
AL1L2_HUMAN_1	Q3SY69	6.13	101745.72
ALDH2_HUMAN_1	P05091	5.69	54444.92
AL3A2_HUMAN_1	P51648	7.98	54847.84
AL4A1_HUMAN_1	P30038	6.96	59034.19
SSDH_HUMAN_1	P51649	7.17	52302.93
MMSA_HUMAN_1	Q02252	8.01	54388.69
AL7A1_HUMAN_1	P49419	6.47	55584.67
AL9A1_HUMAN_1	P49189	5.69	53801.90
AL9A1_HUMAN_2	P49189	5.69	53670.71
ALDOA_HUMAN_1	P04075	8.39	39288.83
ALDOC_HUMAN_1	P09972	6.46	39324.67
ALG1_HUMAN_1	Q9BT22	6.80	52518.14
ALG11_HUMAN_1	Q2TAA5	8.78	55651.04
ALG12_HUMAN_1	Q9BV10	9.63	54654.70
ALG13_HUMAN_1	Q9NP73	6.28	126056.16
ALG2_HUMAN_1	Q9H553	6.61	47091.55
ALG5_HUMAN_1	Q9Y673	9.34	36946.13
ALG6_HUMAN_1	Q9Y672	8.80	58180.69
ALG8_HUMAN_1	Q9BVK2	9.28	60087.61
ALG9_HUMAN_1	Q9H6U8	8.91	69863.44
ALKB4_HUMAN_1	Q9NXW9	6.30	33706.67
ALKB5_HUMAN_1	Q6P6C2	9.19	44124.74
ALKB7_HUMAN_1	Q9BT30	6.10	22480.45
LOX5_HUMAN_1	P09917	5.51	77983.24
AL5AP_HUMAN_1	P20292	8.58	18157.11
PPBT_HUMAN_1	P05186	6.19	53390.01
THOC4_HUMAN_1	Q86V81	11.15	26756.70
AMACR_HUMAN_1	Q9UHK6	6.08	42255.52
AMBP_HUMAN_1	P02760	6.13	20846.74
AMBP_HUMAN_2	P02760	4.89	15974.01
AMBP_HUMAN_3	P02760	7.73	6619.61
NAGA_HUMAN_1	Q9Y303	6.21	43747.89
AMPD2_HUMAN_1	Q01433	6.46	100687.86
AMPD3_HUMAN_1	Q01432	6.51	88812.28
APC1_HUMAN_1	Q9H1A4	5.88	216500.00
APC10_HUMAN_1	Q9UM13	9.17	21120.93
ANC2_HUMAN_1	Q9UJX6	5.12	93828.08
APC4_HUMAN_1	Q9UJX5	5.36	92116.43
APC5_HUMAN_1	Q9UJX4	6.40	85076.94
APC7_HUMAN_1	Q9UJX3	5.45	66855.50
ANGI_HUMAN_1	P03950	9.73	14142.97
ANGL2_HUMAN_1	Q9UKU9	7.02	54802.58
ANK1_HUMAN_1	P16157	5.65	206264.78
ANK2_HUMAN_1	Q01484	5.03	433714.65
ANK3_HUMAN_1	Q12955	6.07	480410.01
ANFY1_HUMAN_1	Q9P2R3	5.70	128268.02
ANKH1_HUMAN_1	Q8IWZ3	5.46	269457.51
AKIB1_HUMAN_1	Q9P2G1	4.98	121870.38
ANKL2_HUMAN_1	Q86XL3	6.66	104114.39
ANKY2_HUMAN_1	Q8IV38	5.88	49298.68
AN13A_HUMAN_1	Q8IZ07	4.93	67619.07
ANR17_HUMAN_1	O75179	6.07	274257.91
ANR28_HUMAN_1	O15084	5.80	112965.80
ANR44_HUMAN_1	Q8N8A2	5.85	107603.16
ANR54_HUMAN_1	Q6NXT1	5.85	32374.27
ANS1A_HUMAN_1	Q92625	5.93	122976.69
ANKZ1_HUMAN_1	Q9H8Y5	8.69	80926.78
ANLN_HUMAN_1	Q9NQW6	8.38	124198.86
ANO10_HUMAN_1	Q9NW15	7.10	76329.36
ANO6_HUMAN_1	Q4KMQ2	7.92	106164.96
AN32A_HUMAN_1	P39687	3.98	28585.40
AN32B_HUMAN_1	Q92688	3.93	28787.73
AN32E_HUMAN_1	Q9BTT0	3.76	30692.49
AMPN_HUMAN_1	P15144	5.31	109408.41
ANTR1_HUMAN_1	Q9H6X2	6.67	59389.94
ANXA1_HUMAN_1	P04083	6.64	38583.05
ANX11_HUMAN_1	P50995	7.53	54389.71
ANXA2_HUMAN_1	P07355	7.56	38472.85
ANXA3_HUMAN_1	P12429	5.63	36244.08
ANXA4_HUMAN_1	P09525	5.84	35751.52
ANXA5_HUMAN_1	P08758	4.93	35805.58
ANXA6_HUMAN_1	P08133	5.41	75742.08
ANXA7_HUMAN_1	P20073	5.52	52739.24
ANXA9_HUMAN_1	O76027	5.53	38363.56
AOC3_HUMAN_1	Q16853	6.05	84490.71
AOXA_HUMAN_1	Q06278	6.79	147917.90
AP1B1_HUMAN_1	Q10567	4.94	104636.67
AP1G1_HUMAN_1	O43747	6.38	91220.27
AP1G2_HUMAN_1	O75843	6.09	87116.59
AP1M1_HUMAN_1	Q9BXS5	6.81	48455.71
AP1M2_HUMAN_1	Q9Y6Q5	8.23	48108.49
AP1S1_HUMAN_1	P61966	5.60	18732.97
AP1S2_HUMAN_1	P56377	5.39	18614.75
AP2A1_HUMAN_1	O95782	6.63	107545.89
AP2A2_HUMAN_1	O94973	6.56	103829.23
AP2B1_HUMAN_1	P63010	5.22	104421.37
AP2M1_HUMAN_1	Q96CW1	9.57	49654.68
AP2S1_HUMAN_1	P53680	5.80	17017.70
AP3B1_HUMAN_1	O00203	5.75	121320.17
AP3D1_HUMAN_1	O14617	8.69	130026.80
AP3M1_HUMAN_1	Q9Y2T2	6.47	46939.18
AP3M2_HUMAN_1	P53677	7.15	46977.30
AP3S1_HUMAN_1	Q92572	5.23	21732.09
APAF_HUMAN_1	O14727	5.95	141839.99
AB1IP_HUMAN_1	Q7Z5R6	5.39	73182.68
APBB2_HUMAN_1	Q92870	5.74	83373.70
SAMP_HUMAN_1	P02743	6.12	23258.53
SAMP_HUMAN_2	P02743	6.12	23159.40
ACPH_HUMAN_1	P13798	5.29	81224.55
APEX1_HUMAN_1	P27695	8.42	35423.31
APEX1_HUMAN_2	P27695	7.14	32244.71
API5_HUMAN_1	Q9BZZ5	7.30	58873.41
MTNB_HUMAN_1	Q96GX9	6.70	27125.24
APLP2_HUMAN_1	Q06481	4.71	84096.27
APOA1_HUMAN_1	P02647	5.45	28961.60
APOA1_HUMAN_2	P02647	5.27	28078.62
APOA1_HUMAN_3	P02647	5.27	27950.49
NNRE_HUMAN_1	Q8NCW5	5.03	26531.52
APOA2_HUMAN_1	P02652	6.51	9303.65
APOA2_HUMAN_2	P02652	5.05	8707.91
APOA2_HUMAN_3	P02652	5.05	8579.78
APOA4_HUMAN_1	P06727	5.18	43402.53
APOB_HUMAN_1	P04114	6.57	512858.25
APOB_HUMAN_2	P04114	7.99	240835.61
ABC3C_HUMAN_1	Q9NRW3	7.52	22825.88
ABC3F_HUMAN_1	Q8IUX4	6.85	45020.21
ABC3G_HUMAN_1	Q9HC16	8.28	46407.95
APOBR_HUMAN_1	Q0VD83	4.38	114874.13
APOC1_HUMAN_1	P02654	7.93	6630.58
APOC1_HUMAN_2	P02654	8.24	6432.35
APOC3_HUMAN_1	P02656	4.72	8764.67
APOD_HUMAN_1	P05090	5.20	19303.08
APOE_HUMAN_1	P02649	5.52	34236.68
APOF_HUMAN_1	Q13790	4.40	17424.57
APOH_HUMAN_1	P02749	8.37	36254.60
APOL1_HUMAN_1	O14791	5.49	41128.68
APOL2_HUMAN_1	Q9BQE5	6.28	37092.36
APOL3_HUMAN_1	O95236	8.40	44278.20
APOM_HUMAN_1	O95445	5.66	21253.29
MIC26_HUMAN_1	Q9BUR5	8.74	19578.36
MIC27_HUMAN_1	Q6UXV4	9.41	26387.53
A4_HUMAN_1	P05067	4.72	85180.03
A4_HUMAN_2	P05067	4.65	75988.34
A4_HUMAN_3	P05067	4.62	74051.32
A4_HUMAN_4	P05067	4.12	30195.93
A4_HUMAN_5	P05067	6.04	11146.73
A4_HUMAN_6	P05067	5.31	4514.10
A4_HUMAN_7	P05067	5.31	4329.86
A4_HUMAN_8	P05067	6.30	9209.71
A4_HUMAN_9	P05067	4.37	2577.08
A4_HUMAN_10	P05067	4.37	2392.84
A4_HUMAN_11	P05067	6.30	8850.24
A4_HUMAN_12	P05067	7.03	6834.89
A4_HUMAN_13	P05067	6.75	6650.65
A4_HUMAN_14	P05067	7.00	5910.69
A4_HUMAN_15	P05067	5.57	3717.10
DP13A_HUMAN_1	Q9UKG1	5.28	79663.47
DP13B_HUMAN_1	Q8NEU8	4.87	74493.34
APT_HUMAN_1	P07741	5.77	19476.58
APTX_HUMAN_1	Q7Z2E3	9.27	40740.01
AQR_HUMAN_1	O60306	5.96	171295.29
ARAF_HUMAN_1	P10398	9.20	67585.35
ARAP1_HUMAN_1	Q96P48	5.86	162191.52
COPD_HUMAN_1	P48444	5.89	57079.19
ARF3_HUMAN_1	P61204	7.04	20469.57
ARF4_HUMAN_1	P18085	6.81	20379.58
ARF5_HUMAN_1	P84085	6.35	20398.46
ARF6_HUMAN_1	P62330	9.04	19950.96
ARFG1_HUMAN_1	Q8N6T3	5.46	44667.90
ARFG2_HUMAN_1	Q8N6H7	8.13	56589.17
ARFG3_HUMAN_1	Q9NP61	7.04	56928.41
BIG1_HUMAN_1	Q9Y6D6	5.58	208767.09
BIG2_HUMAN_1	Q9Y6D5	5.93	202038.28
ARFP1_HUMAN_1	P53367	6.25	41607.09
ARFP2_HUMAN_1	P53365	5.72	37855.73
ARFRP_HUMAN_1	Q13795	7.50	22614.09
ARGL1_HUMAN_1	Q9NWB6	10.35	33216.36
RHG01_HUMAN_1	Q07960	5.85	50435.76
RHG12_HUMAN_1	Q8IWW6	7.29	96254.44
RHG17_HUMAN_1	Q68EM7	7.22	95436.68
RHG18_HUMAN_1	Q8N392	6.10	74976.74
RHG25_HUMAN_1	P42331	6.04	73435.20
RHG26_HUMAN_1	Q9UNA1	6.20	92234.96
RHG27_HUMAN_1	Q6ZUM4	5.40	98396.00
RHG29_HUMAN_1	Q52LW3	6.32	142063.56
RHG35_HUMAN_1	Q9NRY4	6.20	170514.08
RHG04_HUMAN_1	P98171	5.96	105025.58
RHG05_HUMAN_1	Q13017	6.18	172460.01
GDIR1_HUMAN_1	P52565	5.01	23075.92
GDIR2_HUMAN_1	P52566	5.08	22856.81
ARHG1_HUMAN_1	Q92888	5.47	102435.30
ARHGA_HUMAN_1	O15013	5.46	151611.53
ARGAL_HUMAN_1	Q9HCE6	5.59	140409.38
ARHGB_HUMAN_1	O15085	5.33	167704.48
ARHGC_HUMAN_1	Q9NZN5	5.49	173101.13
ARHGG_HUMAN_1	Q5VV41	6.95	79973.80
ARHGH_HUMAN_1	Q96PE2	5.90	221672.54
ARHGI_HUMAN_1	Q6ZSZ5	6.65	130780.48
ARHG2_HUMAN_1	Q92974	6.89	111542.55
ARH40_HUMAN_1	Q8TER5	5.80	164657.60
ARHG5_HUMAN_1	Q12774	5.37	176799.49
ARHG6_HUMAN_1	Q15052	5.79	87498.85
ARHG7_HUMAN_1	Q14155	6.66	90012.05
ARI1A_HUMAN_1	O14497	6.24	241913.42
ARI1B_HUMAN_1	Q8NFD5	6.26	235992.20
ARID2_HUMAN_1	Q68CP9	7.11	197259.67
ARI4A_HUMAN_1	P29374	5.02	142751.71
ARI4B_HUMAN_1	Q4LE39	5.04	147809.49
ARI1_HUMAN_1	Q9Y4X5	4.96	64117.78
ARI2_HUMAN_1	O95376	5.40	57818.86
ARL1_HUMAN_1	P40616	5.64	20286.33
ARL15_HUMAN_1	Q9NXU5	5.41	22876.19
ARL2_HUMAN_1	P36404	5.96	20746.81
AR2BP_HUMAN_1	Q9Y2Y0	4.23	18822.12
ARL3_HUMAN_1	P36405	6.94	20324.33
ARL6_HUMAN_1	Q9H0F7	8.73	20966.30
AR6P1_HUMAN_1	Q15041	9.38	23362.76
AR6P4_HUMAN_1	Q66PJ3	10.93	44915.42
PRAF3_HUMAN_1	O75915	9.77	21614.71
ARL8A_HUMAN_1	Q96BM9	7.63	21415.89
ARL8B_HUMAN_1	Q9NVJ2	8.67	21539.02
ARMC1_HUMAN_1	Q9NVT9	5.54	31280.62
ARM10_HUMAN_1	Q8N2F6	6.16	37539.97
ARMC6_HUMAN_1	Q6NXE6	5.83	54141.90
ARMC8_HUMAN_1	Q8IUR7	6.28	75378.09
ARMC9_HUMAN_1	Q7Z3E5	5.83	91761.62
ARMX1_HUMAN_1	Q9P291	9.32	49180.44
ARMX2_HUMAN_1	Q7L311	8.68	65683.47
ARMX3_HUMAN_1	Q9UH62	8.60	42500.62
ARNT_HUMAN_1	P27540	6.11	86505.30
ARC1A_HUMAN_1	Q92747	8.46	41569.29
ARC1B_HUMAN_1	O15143	8.69	40818.59
ARPC2_HUMAN_1	O15144	6.84	34333.02
ARPC3_HUMAN_1	O15145	8.82	20415.48
ARPC4_HUMAN_1	P59998	8.53	19535.82
ARPC5_HUMAN_1	O15511	5.47	16189.23
ARP5L_HUMAN_1	Q9BPX5	6.15	16941.19
ARP19_HUMAN_1	P56211	9.07	12191.78
ARRB1_HUMAN_1	P49407	5.84	47065.66
ARRB2_HUMAN_1	P32121	7.59	46105.77
ARRD1_HUMAN_1	Q8N5I2	6.53	45981.41
ARSA_HUMAN_1	P15289	5.57	51911.08
ARSA_HUMAN_2	P15289	5.45	45384.52
ARSA_HUMAN_3	P15289	6.28	6317.32
ARSB_HUMAN_1	P15848	7.30	56012.61
ARSD_HUMAN_1	P51689	6.47	61280.42
ARVC_HUMAN_1	O00192	6.38	104641.87
ASAH1_HUMAN_1	Q13510	5.63	13704.97
ASAH1_HUMAN_2	Q13510	8.22	28988.23
ASAP1_HUMAN_1	Q9ULH1	6.95	125498.03
ASAP2_HUMAN_1	O43150	6.24	111650.58
ASCC1_HUMAN_1	Q8N9N2	5.36	45509.49
ASCC2_HUMAN_1	Q9H1I8	5.02	86360.36
ASCC3_HUMAN_1	Q8N3C0	6.64	251460.35
ASF1A_HUMAN_1	Q9Y294	4.29	22968.65
ASF1B_HUMAN_1	Q9NVP2	4.46	22433.55
ASH1L_HUMAN_1	Q9NR48	9.46	332790.20
ASH2L_HUMAN_1	Q9UBL3	5.45	68722.85
ARLY_HUMAN_1	P04424	6.05	51526.78
ASML_HUMAN_1	O95671	5.71	68856.74
ASNA_HUMAN_1	O43681	4.81	38661.59
ASNS_HUMAN_1	P08243	6.40	64238.74
ASPH_HUMAN_1	Q12797	4.92	85862.61
ASPM_HUMAN_1	Q8IZT6	10.45	409800.07
ASPN_HUMAN_1	Q9BXN1	6.10	39749.58
ASPC1_HUMAN_1	Q9BZE9	6.24	60051.89
ASGL1_HUMAN_1	Q7L266	5.83	17521.99
ASGL1_HUMAN_2	Q7L266	5.83	14550.53
ASSY_HUMAN_1	P00966	8.08	46530.37
ASUN_HUMAN_1	Q9NVM9	6.24	80225.02
ATAD1_HUMAN_1	Q8NBU5	6.43	40744.03
ATAD2_HUMAN_1	Q6PL18	5.94	158554.18
ATD3A_HUMAN_1	Q9NVI7	9.08	71237.95
ATE1_HUMAN_1	O95260	8.17	59090.22
ATF2_HUMAN_1	P15336	7.75	54537.39
